0,6
0,10
0,12
0,13
0,34
0,41
0,42
0,52
0,55
0,60
0,84
0,86
0,94
0,113
0,114
0,131
0,133
0,183
0,190
0,192
0,204
0,205
0,220
0,241
0,267
0,268
0,282
0,287
0,308
0,316
0,317
0,319
0,326
0,340
0,347
0,359
0,362
0,368
0,378
0,383
0,394
0,412
0,425
0,427
0,428
0,441
0,457
0,460
0,470
0,480
0,492
1,480
2,486
3,485
4,478
5,483
7,486
8,459
9,495
11,491
14,491
15,486
16,437
17,488
18,485
19,495
20,475
21,489
22,485
23,479
24,477
25,494
26,491
27,488
28,486
29,483
30,485
31,486
32,475
33,483
35,476
36,458
37,474
38,495
39,470
40,485
43,458
44,491
45,486
46,495
47,492
48,478
49,486
50,483
51,487
53,488
54,485
56,486
57,492
58,486
59,488
61,486
62,483
63,495
64,480
65,483
66,481
67,481
68,493
69,491
70,491
71,477
72,492
73,492
74,491
75,487
76,488
77,479
78,491
79,477
80,491
81,493
82,471
83,491
85,483
87,493
88,492
89,489
90,485
91,492
92,491
93,495
95,488
96,486
97,488
98,495
99,486
100,492
101,474
102,486
103,495
104,475
105,486
106,481
107,488
108,477
109,483
110,481
111,492
112,480
115,493
116,485
117,491
118,493
119,474
120,471
121,491
122,485
123,483
124,477
125,480
126,488
127,478
128,493
129,492
130,493
132,474
134,494
135,494
136,480
137,486
138,493
139,491
140,489
141,489
142,493
143,492
144,492
145,486
146,477
147,483
148,491
149,492
150,488
151,479
152,492
153,492
154,494
155,467
156,492
157,486
158,486
159,467
160,475
161,491
162,473
163,492
164,473
165,492
166,493
167,488
168,480
169,458
170,495
171,486
172,486
173,495
174,488
175,481
176,487
177,493
178,484
179,494
180,487
181,491
182,484
184,478
185,477
186,470
187,493
188,487
189,491
191,488
193,488
194,488
195,477
196,492
197,485
198,492
199,493
200,486
201,475
202,493
203,470
206,466
207,493
208,480
209,485
210,494
211,467
212,477
213,491
214,495
215,493
216,488
217,491
218,492
219,486
221,491
222,468
223,491
224,486
225,492
226,476
227,481
228,483
229,493
230,492
231,458
232,491
233,491
234,480
235,483
236,479
237,494
238,494
239,487
240,472
242,494
243,492
244,495
245,492
246,474
247,495
248,483
249,461
250,478
251,495
252,491
253,494
254,474
255,492
256,486
257,491
258,478
259,486
260,492
261,492
262,495
263,485
264,493
265,483
266,493
269,478
270,491
271,491
272,491
273,495
274,484
275,494
276,480
277,491
278,470
279,495
280,492
281,483
283,478
284,486
285,472
286,486
288,486
289,440
290,491
291,485
292,492
293,481
294,492
295,491
296,486
297,489
298,491
299,495
300,480
301,485
302,483
303,480
304,488
305,486
306,491
307,492
309,486
310,488
311,477
312,485
313,495
314,473
315,493
318,488
320,486
321,469
322,492
323,493
324,472
325,488
327,486
328,492
329,493
330,492
331,493
332,480
333,468
334,478
335,494
336,491
337,469
338,475
339,466
341,485
342,489
343,491
344,456
345,492
346,487
348,481
349,492
350,483
351,478
352,493
353,483
354,478
355,483
356,477
357,464
358,493
360,495
361,495
363,471
364,488
365,478
366,461
367,492
369,476
370,485
371,474
372,493
373,475
374,486
375,495
376,493
377,483
379,492
380,493
381,493
382,483
384,494
385,493
386,480
387,493
388,491
389,493
390,491
391,461
392,488
393,485
395,488
396,486
397,481
398,479
399,483
400,488
401,488
402,468
403,473
404,485
405,488
406,478
407,493
408,481
409,478
410,487
411,470
413,476
414,486
415,488
416,478
417,481
418,495
419,485
420,478
421,483
422,486
423,481
424,491
426,481
429,486
430,495
431,492
432,488
433,489
434,493
435,477
436,493
437,494
438,491
439,480
440,491
442,485
443,495
444,486
445,477
446,491
447,491
448,453
448,491
449,488
450,494
451,491
452,474
452,482
454,477
455,491
456,486
458,460
459,483
461,483
462,486
463,485
464,495
465,485
466,490
466,491
467,494
468,485
469,489
471,495
472,491
473,485
474,494
475,492
476,485
477,479
477,489
477,492
478,491
480,497
481,486
481,494
483,491
483,493
484,489
485,486
485,495
486,491
487,489
488,493
488,496
491,492
